Reference;Value;Footprint;Qty;DNP;LCSC Part#
C13,C16,C22;MKS4C042204C00KSSD;SamacSys_Parts:MKS4C042204C00KSSD;3;;
IC5;ACS37800KMACTR-030B3-I2C;ACS37002LMCA050U5;1;Nicht bestücken;
J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11;TMS-102-21-G-S;SamacSys_Parts:TMS-102-YY-XX-S;11;Nicht bestücken;
L1;IH15BQ5R0K;SamacSys_Parts:IH15BQ5R0K;1;Nicht bestücken;
Q1,Q2,Q3,Q4;IRLB4030PBF;TO254P483X1016X1994-3P;4;Nicht bestücken;
Q5,Q6,Q9,Q10;IPD90N10S4L06ATMA1;IPD90N10S4L06ATMA1;4;Nicht bestücken;
R46,R47;0;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;Nicht bestücken;
TP1,TP2,TP3,TP4;575-4;SamacSys_Parts:5754;4;Nicht bestücken;
U8;3544-2;SamacSys_Parts:3544-2;1;Nicht bestücken;
P1;USB_C_Plug_USB2.0;Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A;1;; C2894897
U2,U3;IR2110S;Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm;2;;C2968 
D4;SP0503BAHT;Package_TO_SOT_SMD:SOT-143;1;;C7074
U5;LD1086DT33TR;Package_TO_SOT_SMD:TO-252-2;1;;C12051
U7;CH340G;Package_SO:SOIC-16_3.9x9.9mm_P1.27mm;1;;C14267
R1,R10;2.2;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;;C25301
C11,C17,C21,C25,C26,C27;1µF;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;6;;C28323
C12;1 µF;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C28323
C10,C18,C19;100 nF;-- verschiedene Werte --;3;;C49678
R4,R5,R6,R7,R30,R31,R38,R39,R40,R41;10k;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;10;;C84376
R28;1k;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C95781
D1,D2,D3,D5;FSV2060L;FSV2060L;4;;C110669
R27;100;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C115423
C7,C8,C23;100uF;SamacSys_Parts:EEE1AA101SP;3;;C128464
R13;12k;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C139925
U6;LD1086DT50TR;Package_TO_SOT_SMD:TO-252-2;1;;C164853
C9;1 nF;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C165822
D6,D7,D8,D9,D10,D11;S210;SamacSys_Parts:DIOM5336X265N;6;;C184977
IC2;L7812ABD2T-TR;L7812ABD2TTR;1;;C186698
C2,C4;220 nF;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;;C354366
C14,C15;220nF;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;;C354366
LED1;TLMG1100-GS15-1;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C434436
LED2;TLMG1100-GS15-2;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C434436
LED3;TLMG1100-GS15-3;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C434436
Q7,Q8;BC817;Package_TO_SOT_SMD:SOT-23_Handsoldering;2;;C475629
C1,C6;2.2 uF;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;;C513763
U1;ESP32-WROOM-32;RF_Module:ESP32-WROOM-32;1;;C701343
R23,R24,R48,R49;0;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;4;;C2074219
C3,C5;22 nF;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;2;;C2181592
R15,R16,R43,R44;1M;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;4;;C2771009
R14;5k;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C2828700
U4;INA228;Package_SO:VSSOP-10_3x3mm_P0.5mm;1;;C2862904
R42;GMR100HTBFER015;Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder;1;;C2985715
R2,R3,R8,R9;10;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;4;;C3016584
R29;330;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C4129769
R45;40k;Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder;1;;C5266069
